Number,Launch date,Other designations,Function,Status,Remarks,
USA-59,1990-06-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,"Deployed subsatellites, USA-60, 61 and 62"
USA-60,1990-06-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-59
USA-61,1990-06-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-59
USA-62,1990-06-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-59
USA-63,1990-08-02,Delta II 6925-9.5,GPS-II-8,Navigation,Out of service,
USA-64,1990-10-01,Delta II 6925-9.5,GPS-II-9,Navigation,Out of service,
USA-65,1990-11-13,Titan IV / IUS,DSP-1-14 F15,Missile detection,Decommissioned,
USA-66,1990-11-26,Delta II 7925-9.5,GPS-IIA-1,Navigation,Out of service,
USA-67,1990-11-15,Space Shuttle *Atlantis*,SDS-2,Communications,,Launched with Prowler; disguised as Magnum to hide Prowler's existence
USA-68,1990-12-01,Atlas E/F,DMSP-5D2 F5 (S-10),Weather,Failed,Placed in useless orbit due to upper stage malfunction
USA-69,1991-03-08,Titan IV,Lacrosse,Radar reconnaissance,Out of service,
USA-70,1991-04-28,Space Shuttle *Discovery*,MPEC,Technology development,,
USA-71,1991-07-04,Delta II 7925-9.5,GPS-IIA-2,Navigation,Out of service,
USA-72,1991-11-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,"Deployed subsatellites, USA-74, 76 and 77"
USA-73,1991-11-28,Atlas E/F,DMSP-5D2 F6 (S-12),Weather,,
USA-74,1991-11-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-72
USA-75,1991-11-24,Space Shuttle *Atlantis*,DSP-1-14-F16,Missile detection,,
USA-76,1991-11-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-72
USA-77,1991-11-08,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-72
USA-78,1992-02-11,Atlas II,DSCS-III-08,Communications,,
USA-79,1992-02-23,Delta II 7925-9.5,GPS-IIA-3,Navigation,Decommissioned,
USA-80,1992-04-10,Delta II 7925-9.5,GPS-IIA-4,Navigation,Out of service,
USA-81,1992-04-25,Titan 23G,Singleton/SBWASS-R,ELINT,,
USA-82,1992-07-02,Atlas II,DSCS-III-09,Communications,,
USA-83,1992-07-07,Delta II 7925-9.5,GPS-IIA-5,Navigation,Out of service,
USA-84,1992-09-09,Delta II 7925-9.5,GPS-IIA-6,Navigation,Out of service,
USA-85,1992-11-22,Delta II 7925-9.5,GPS-IIA-7,Navigation,Out of service,
USA-86,1992-11-28,Titan IV,KH-11,Optical reconnaissance,,
USA-87,1992-12-18,Delta II 7925-9.5,GPS-IIA-8,Navigation,Out of service,
USA-88,1993-02-03,Delta II 7925-9.5,GPS-IIA-9,Navigation,Out of service,
USA-89,1992-12-02,Space Shuttle *Discovery*,SDS-2,Communications,,
USA-90,1993-03-30,Delta II 7925-9.5,GPS-IIA-10,Navigation,Out of service,
USA-91,1993-05-13,Delta II 7925-9.5,GPS-IIA-11,Navigation,Out of service,
USA-92,1993-06-26,Delta II 7925-9.5,GPS-IIA-12,Navigation,Out of service,
USA-93,1993-07-19,Atlas II,DSCS-III-10,Communications,,
USA-94,1993-08-30,Delta II 7925-9.5,GPS-IIA-13,Navigation,Out of service,
USA-95,1993-09-03,Atlas I,UHF F/O-2,Communications,,
USA-96,1993-10-26,Delta II 7925-9.5,GPS-IIA-14,Navigation,Out of service,
USA-97,1993-11-28,Atlas II,DSCS-III-11,Communications,,
USA-98,1993-12-08,Delta II 7925,NATO-4B,Communications,,
USA-99,1994-02-07,Titan IV / Centaur,Milstar-DFS-1,Communications,,
USA-100,1994-03-10,Delta II 7925-9.5,GPS-IIA-15,Navigation,Out of service,
USA-101,1994-02-13,Taurus,STEP-0,Technology development,,Launched with USA-102
USA-102,1994-02-13,Taurus,DarpaSat,Technology development,,Launched with USA-101
USA-103,1994-05-03,Titan IV / Centaur,Trumpet,ELINT,,
USA-104,1994-06-24,Atlas I,UHF F/O-3,Communications,,
USA-105,1994-08-27,Titan IV / Centaur,Mercury,ELINT,,
USA-106,1994-08-29,Atlas E/F,DMSP 5D-1 F12,Weather,,
USA-107,1994-12-22,Titan IV / IUS,DSP-1 F17,Missile detection,Active,
USA-108,1995-01-29,Atlas II,UHF F/O-4,Communications,,
USA-109,1995-03-24,Atlas E/F,DMSP 5D-1 F13,Weather,Destroyed: 3 February 2015,"Exploded after unknown malfunction, characterized as ""sudden temperature 
spike"". 47 tracked pieces of debris were produced.[4]"
USA-110,1995-05-14,Titan IV / Centaur,Mentor,ELINT,,
USA-111,1995-05-31,Atlas II,UHF F/O-5,Communications,Decommissioned,
USA-112,1995-07-10,Titan IV / Centaur,Trumpet,ELINT,,
USA-113,1995-07-31,Atlas IIA,DSCS-III-B7,Communications,,
USA-114,1995-10-22,Atlas II,UHF F/O-6,Communications,,
USA-115,1995-11-06,Titan IV / Centaur,Milstar DFS-2,Communications,,
USA-116,1995-12-05,Titan IV,KH-11,Optical reconnaissance,Presumed deorbited,not seen since late 2008
USA-117,1996-03-28,Delta II 7925-9.5,GPS-IIA-16,Navigation,Out of service,
USA-118,1996-04-24,Titan IV / Centaur,Mercury,ELINT,,
USA-119,1996-05-12,Titan IV,NOSS-2,ELINT / Ocean surveillance,,"Deployed subsatellites, USA-120, 121 and 122, Launched with USA-123 and 124"
USA-120,1996-05-12,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-119
USA-121,1996-05-12,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-119
USA-122,1996-05-12,Titan IV,NOSS-2,ELINT / Ocean surveillance,,Subsatellite of USA-119
USA-123,1996-05-12,Titan IV,TIPS-Ralph,Technology,,"Launched with USA-119 and subsatellites, and USA-124"
USA-124,1996-05-12,Titan IV,TIPS-Norton,Technology,,"Launched with USA-119 and subsatellites, and USA-123"
USA-125,1996-07-03,Titan IV,SDS-2,Communications,,
USA-126,1996-07-16,Delta II 7925-9.5,GPS-IIA-17,Navigation,Active,
USA-127,1996-07-25,Atlas II,UHF F/O-7,Communications,,
USA-128,1996-09-12,Delta II 7925-9.5,GPS-IIA-18,Navigation,Out of service,
USA-129,1996-12-20,Titan IV,412 (KH-11),Optical reconnaissance,Out of service,
USA-130,1997-02-23,Titan IVB/IUS,DSP-1-18 F18,Missile detection,Out of service,
USA-131,1997-04-04,Titan 23G,DMSP 5D-2 F14,Weather,,
USA-132,1997-07-23,Delta II 7925-9.5,GPS-IIR-2,Navigation,Active,
USA-133,1997-10-24,Titan IV,NROL-3 (Lacrosse),Radar reconnaissance,Active,
USA-134,1997-10-25,Atlas IIA,DSCS-III-B13,Communications,,Launched with FalconSat-Gold
USA-135,1997-11-06,Delta II 7925-9.5,GPS-IIA-19,Navigation,Out of service,
USA-136,1997-11-06,Titan IV / Centaur,NROL-4 (Trumpet),ELINT,,
USA-137,1998-01-29,Atlas IIA,NROL-5 (SDS-3),Communications,,*Capricorn*
USA-138,1998-03-15,Atlas II,UHF F/O-8,Communications,,
USA-139,1998-05-09,Titan IV / Centaur,NROL-6 (Mentor),Communications,,
USA-140,1998-10-20,Atlas IIA,UHF F/O-9,Communications,,
USA-141,1998-10-03,Taurus,ATEX,Debris,Failed: 1999-01-16,Debris from STEX (NROL-8) satellite tether experiment
USA-142,1999-04-09,Titan IVB/IUS,DSP-1-18 F19,Missile detection,Failed: 1999-04-09,"IUS failed to separate
Left in useless orbit"
USA-143,1999-04-30,Titan IV / Centaur,Milstar DFS-3m,Communications,Failed: 1999-04-30,"Centaur programming error resulted in incorrect burn times, placed in 
useless orbit"
USA-144,1999-05-22,Titan IV,NROL-9 (Misty),Reconnaissance,Unknown,"Stealth satellite, only object ever placed in orbit which amateurs are 
unable to track"
USA-145,1999-10-07,Delta II 7925-9.5,GPS-IIR-3,Navigation,,
USA-146,1998-11-23,Atlas IIA,UHF F/O-10,Communications,,
USA-147,1999-12-12,Titan 23G,DMSP 5D-3 F15,Weather,,
USA-148,2000-01-21,Atlas IIA,DSCS-III-B8,Communications,,
USA-149,2000-05-08,Titan IVB/IUS,DSP-1-18 F20,Missile detection,Active,
USA-150,2000-05-11,Delta II 7925-9.5,GPS-IIR-4,Navigation,,
USA-151,2000-07-16,Delta II 7925-9.5,GPS-IIR-5,Navigation,,
USA-152,2000-08-17,Titan IVB,NROL-11 (Lacrosse/Onyx),Radar reconnaissance,Active,
USA-153,2000-10-20,Atlas IIA,DSCS-III-B11,Communications,,
USA-154,2000-11-10,Delta II 7925-9.5,GPS-IIR-6,Navigation,,
USA-155,2000-12-06,Atlas IIAS,NROL-10 (SDS-3,Communications,,*Ursa Major*/*Great Bear*
USA-156,2001-01-30,Delta II 7925-9.5,GPS-IIR-7,Navigation,,
USA-157,2001-02-27,Titan IV / Centaur,Milstar DFS-4,Communications,,
USA-158,2001-05-18,Delta II 7925-9.5,NROL-17 (GeoLITE),Technology / Communications,,
USA-159,2001-08-06,Titan IVB/IUS,DSP-1-18 F21,Missile detection,Active,
USA-160,2001-09-08,Atlas IIAS,"NROL-13 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,,*Gemini*; two satellites sharing one designation
USA-161,2001-10-05,Titan IVB,NROL-14 (KH-11),Optical reconnaissance,Active,
USA-162,2000-10-11,Atlas IIAS,NROL-2 (SDS-3,Communications,,*Aquilla*
USA-163,N/A,N/A,N/A,N/A,,"Number not assigned.[5] Some designation confusion due to contemporary 
flights with multiple payloads.[1][6]"
USA-164,2002-01-16,Titan IV / Centaur,Milstar DFS-5,Communications,,
USA-165,2005-04-11,Minotaur,XSS-11,Technology development,,
USA-166,2003-01-29,Delta II 7925-9.5,GPS-IIR-8,Navigation,,
USA-167,2003-03-11,Delta IV M,DSCS-III-A3,Communications,,
USA-168,2003-03-31,Delta II 7925-9.5,GPS-IIR-9,Navigation,,
USA-169,2003-04-08,Titan IV / Centaur,Milstar DFS-6,Communications,,
USA-170,2003-08-29,Delta IV M,DSCS-III-B6,Communications,,
USA-171,2003-09-09,Titan IV / Centaur,NROL-19 (Mentor),ELINT,,
USA-172,2003-10-18,Titan 23G,DMSP 5D-3 F16,Weather,,
USA-173,2003-12-02,Atlas IIAS,"NROL-18 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,,*Libra*; two satellites sharing one designation
USA-174,1998-12-18,Atlas IIIB,UHF F/O-11,Communications,,
USA-175,2003-12-21,Delta II 7925-9.5,GPS-IIR-10,Navigation,,
USA-176,2004-02-14,Titan IVB/IUS,DSP-1-18 F22,Missile detection,Active,
USA-177,2004-03-20,Delta II 7925-9.5,GPS-IIR-11,Navigation,,
USA-178,2004-06-23,Delta II 7925-9.5,GPS-IIR-12,Navigation,,
USA-179,2004-08-31,Atlas IIAS,NROL-1 (SDS-3),Communications,,*Nemesis*
USA-180,2004-11-06,Delta II 7925-9.5,GPS-IIR-13,Navigation,,
USA-181,2005-02-03,Atlas IIIB,"NROL-23 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,,*Canis Minor*; two satellites sharing one designation
USA-182,2005-04-30,Titan IVB,NROL-16 (Lacrosse/Onyx),Radar reconnaissance,Active,
USA-183,2005-09-26,Delta II 7925-9.5,GPS-IIR-14 (IIRM-1),Navigation,,
USA-184,2006-06-25,"Delta IV M+(4,2)",NROL-22 (Imp. Trumpet),ELINT,,
USA-185,2005-09-23,Minotaur,STP-R1,Technology development,,
USA-186,2005-10-19,Titan IVB,NROL-20 (KH-11),Optical reconnaissance,Active,
USA-187,2006-06-21,Delta II 7925,MiTEx-A,Technology,,Launched with USA-188 and 189
USA-188,2006-06-21,Delta II 7925,MiTEx-B,Technology,,Launched with USA-187 and 189
USA-189,2006-06-21,Delta II 7925,MiTEx Carrier,Technology,,Launched with USA-187 and 188
USA-190,2006-09-25,Delta II 7925-9.5,GPS-IIR-15 (IIRM-2),Navigation,Active,
USA-191,2006-11-04,Delta IV M,DMSP 5D-3 F17,Weather,,
USA-192,2006-11-17,Delta II 7925-9.5,GPS-IIR-16 (IIRM-3),Navigation,Active,
USA-193,2006-12-14,Delta II 7920-10,NROL-21,Radar Imaging,"Failed: 2006-12-14
Destroyed: 2008-02-21",Failed immediately after separation from rocket. Destroyed by ASAT.
USA-194,2007-06-15,Atlas V 401,"NROL-30 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,,*Pyxis*; two satellites under one designation
USA-195,2007-10-11,Atlas V 421,WGS-1,Communications,,
USA-196,2007-10-17,Delta II 7925-9.5,GPS-IIR-17 (IIRM-4),Navigation,Active,
USA-197,2007-11-11,Delta IV Heavy,DSP-1-18 F23,Missile detection,Failed,
USA-198,2007-12-10,Atlas V 401,NROL-24 (SDS-3),Communications,,*Scorpius*
USA-199,2007-12-20,Delta II 7925-9.5,GPS-IIR-18 (IIRM-5),Navigation,Active,
USA-200,2008-03-13[7],Atlas V 411,NROL-28 (Imp. Trumpet),ELINT,,
USA-201,2008-03-15,Delta II 7925-9.5,GPS-IIR-19 (IIRM-6),Navigation,Active,
USA-202,2009-01-18,Delta IV Heavy,NROL-26 (Mentor),ELINT,Active,
USA-203,2009-03-24,Delta II 7925-9.5,GPS-IIR-20 (IIRM-7),Navigation,Active,
USA-204,2009-04-04,Atlas V 421,WGS-2,Communications,Active,
USA-205,2009-05-05,Delta II 7920-10C,STSS-ATRR,Technology,Active,
USA-206,2009-08-17,Delta II 7925-9.5,GPS IIR-21 (IIRM-8),Navigation,Active,Final GPS IIR satellite
USA-207,2009-09-08,Atlas V 401,Palladium At Night (PAN),Communications,Active,
USA-208,2009-09-25,Delta II 7920-10C,STSS-Demo,Technology,Active,Launched with USA-209
USA-209,2009-09-25,Delta II 7920-10C,STSS-Demo,Technology,Active,Launched with USA-208
USA-210,2009-10-18,Atlas V 401,DMSP-5D-3 F18,Weather,Active,
USA-211,2009-12-06,"Delta IV M+(5,4)",WGS-3,Communications,Active,Last Block I WGS satellite
USA-212,2010-04-22,Atlas V 501,Boeing X-37B OTV-1,Technology,Landed: 2010-12-03,"Experimental spaceplane, maiden flight of first X-37B"
USA-213,2010-05-28,"Delta IV M+(4,2)",GPS IIF-1,Navigation,Active,
USA-214,2010-08-14,Atlas V 531,AEHF-1,Communications,Active,
USA-215,2010-09-21,Atlas V 501,NROL-41 (FIA-R),Radar reconnaissance,Active,
USA-216,2010-09-26,Minotaur IV,SBSS-1,Satellite tracking,Active,
USA-217,2010-11-20,Minotaur IV / HAPS,STPSat-1,Technology,Active,"Launched with USA-218, 219, 220, 221, 222 and NanoSail-D2"
USA-218,2010-11-20,Minotaur IV / HAPS,RAX,Science,Active,"Launched with USA-217, 219, 220, 221, 222 and NanoSail-D2. Civilian 
satellite, unclear why USA designation was assigned"
USA-219,2010-11-20,Minotaur IV / HAPS,O/OREOS,Technology,Active,"Launched with USA-217, 218, 220, 221, 222 and NanoSail-D2. Civilian 
satellite, unclear why USA designation was assigned"
USA-220,2010-11-20,Minotaur IV / HAPS,FASTSAT,Technology,Active,"Launched with USA-217, 218, 219, 221, 222 and NanoSail-D2. Civilian 
satellite, unclear why USA designation was assigned"
USA-221,2010-11-20,Minotaur IV / HAPS,FalconSAT-5,Technology,Active,"Launched with USA-217, 218, 219, 220, 222 and NanoSail-D2"
USA-222,2010-11-20,Minotaur IV / HAPS,FASTRAC,Technology,Active,"Launched with USA-217, 218, 219, 220, 221 and NanoSail-D2. Two civilian 
satellites, unclear why USA designation was assigned"
USA-223,2010-11-21,Delta IV Heavy,NROL-32 (Mentor),ELINT,Active,
USA-224,2011-01-20,Delta IV Heavy,NROL-49 (KH-11 Kennen),Optical reconnaissance,Active,
USA-225,2011-02-06,Minotaur I,NROL-66 (RPP),Technology,Active,
USA-226,2011-03-05,Atlas V 501,Boeing X-37B OTV-2,Technology,Landed: 2012-06-16,"Spaceplane, maiden flight of second X-37B"
USA-227,2011-03-11,"Delta IV M+(4,2)",NROL-27 (SDS-3),Communications,Active,
USA-228[8],2010-11-20,Minotaur IV/HAPS,FASTRAC,Technology,Active,"This is the second of the pair of FASTRAC satellites, the first one being 
USA-222"
USA-229,2011-04-15,Atlas V 411,"NROL-34 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,Active,*Odin*; two satellites sharing one designation
USA-230,2011-05-07,Atlas V 401,SBIRS GEO-1,Missile detection,Active,
USA-231,2011-06-30,Minotaur I,ORS-1,Optical reconnaissance,Active,
USA-232,2011-07-16,"Delta IV M+(4,2)",GPS IIF-2,Navigation,Active,
USA-233,2012-01-20,"Delta IV M+(5,4)",WGS-4,Communications,Active,
USA-234,2012-04-03,"Delta IV M+(5,2)",NROL-25 (FIA-R),Radar reconnaissance,Active,
USA-235,2012-05-04,Atlas V 531,AEHF-2,Communications,Active,
USA-236,2012-06-20,Atlas V 401,NROL-38 (SDS-3),Communications,Active,
USA-237,2012-06-29,Delta IV Heavy,NROL-15 (Imp. Mentor),Surveillance,Active,
USA-238,2012-09-13,Atlas V 401,"NROL-36 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,Active,[9] *Rosie*; two satellites sharing one designation
USA-239,2012-10-04,"Delta IV M+(4,2)",GPS IIF-3,Navigation,Active,[10]
USA-240,2012-12-11,Atlas V 501,Boeing X-37B OTV-3,Technology,Landed: 2014-10-17,[11]
USA-241,2013-03-19,Atlas V 401,SBIRS GEO-2,Missile detection,Active,
USA-242,2013-05-15,Atlas V 401,GPS IIF-4,Navigation,Active,
USA-243,2013-05-25,"Delta IV M+(5,4)",WGS-5,Communications,Active,
USA-244,2013-08-08,"Delta IV M+(5,4)",WGS-6,Communications,Active,
USA-245,2013-08-28,Delta IV Heavy,NROL-65 (KH-11 Kennen),Optical reconnaissance,Active,
USA-246,2013-09-18,Atlas V 531,AEHF-3,Communications,Active,
USA-247,2013-12-06,Atlas V 501,NROL-39 (FIA-R),Radar reconnaissance,Active,
USA-248,2014-02-21,"Delta IV M+(4,2)",GPS IIF-5,Navigation,Active,
USA-249,2014-04-03,Atlas V 401,DMSP-5D-3 F19,Weather,Inactive[12],
USA-250,2014-04-10,Atlas V 541,NROL-67,ELINT,Active,
USA-251,2014-05-17,"Delta IV M+(4,2)",GPS IIF-6,Navigation,Active,
USA-252,2014-05-22,Atlas V 401,NROL-33 (SDS-3),Communications,Active,
USA-253,2014-07-28,"Delta IV M+(4,2)",GSSAP 1,Surveillance,Active,
USA-254,2014-07-28,"Delta IV M+(4,2)",GSSAP 2,Surveillance,Active,
USA-255,2014-07-28,"Delta IV M+(4,2)",ANGELS,Technology,Active,
USA-256,2014-08-02,Atlas V 401,GPS IIF-7,Navigation,Active,
USA-257,2014-09-17,Atlas V 401,CLIO[13],ELINT,Active,
USA-258,2014-10-29,Atlas V 401,GPS IIF-8,Navigation,Active,
USA-259,2014-12-13,Atlas V 401,NROL-35,ELINT,Active,
USA-260,2015-03-25,"Delta IV M+(4,2)",GPS IIF-9,Navigation,Active,
USA-261,2015-05-20,Atlas V 501,Boeing X-37B OTV-4,Technology,Landed: 2017-05-07,
USA-262,2015-07-15,Atlas V 401,GPS IIF-10,Navigation,Active,
USA-263,2015-07-24,"Delta IV M+(5,4)",WGS-7,Communications,Active,
USA-264,2015-10-08,Atlas V 401,"NROL-55 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,Active,"Two satellites sharing one designation. Also contained 13 CubeSats as part 
of the Government Rideshare Advanced Concepts Experiment (GRACE) Program."
USA-265,2015-10-31,Atlas V 401,GPS IIF-11,Navigation,Active,
USA-266,2016-02-05,Atlas V 401,GPS IIF-12,Navigation,Active,
USA-267,2016-02-10,"Delta IV M+(5,2)",NROL-45 (FIA-R),Radar reconnaissance,Active,
USA-268,2016-06-11,Delta IV Heavy,NROL-37 (Orion / Mentor),ELINT,Active,
USA-269,2016-07-28,Atlas V 421,"NROL-61 (Quasar, Spike)",Communications,Active,
USA-270,2016-08-19,"Delta IV M+(4,2)",GSSAP 3,Surveillance,Active,
USA-271,2016-08-19,"Delta IV M+(4,2)",GSSAP 4,Surveillance,Active,
USA-272,2016-12-07,"Delta IV M+(5,4)",WGS-8,Communications,Active,
USA-273,2017-01-21,Atlas V 401,SBIRS GEO-3,Missile detection,Commissioning,
USA-274,2017-03-01,Atlas V 401,"NROL-79 (NOSS-3 ""Intruder"")",ELINT / Ocean surveillance,Active,Two satellites sharing one designation.
USA-275,2017-03-19,"Delta IV M+(5,4)",WGS-9,Communications,Active,
USA-276,2017-05-01,Falcon 9 Full Thrust,NROL-76,Radar Imaging,Active,"Reimbursement for USA-193, Military Satellite. The so-called ""Radar 
Imaging"", which had a serious flaw and was the US Army, shot down. 
Destroyed: 02-21-2008."
USA-277,2017-09-07,Falcon 9 Full Thrust,Boeing X-37B OTV-5,Technology,Active,
USA-278,2017-09-24,Atlas V 541,NROL-42,ELINT,Active,
USA-279,2017-10-15,Atlas V 421,NROL-52 (Quasar),Communications,Active,
USA-280,2018-01-08,Falcon 9 Full Thrust,Zuma,Classified,Unknown,"Launch reported as successful, but satellite believed to have been lost 
after failing to separate from payload adapter.[14]"
USA-281,2018-01-12,"Delta IV M+(5,2)",NROL-47 (FIA-R),Radar reconnaissance,Active,
USA-282,2018-01-20,Atlas V 411,SBIRS GEO-4,Missile detection,Active,
USA-283,2018-04-14,Atlas V 551,AFSPC-11 / CBAS,Communications,Active,
USA-284,2018-04-14,Atlas V 551,AFSPC-11 / EAGLE,Technology demonstration,Active,Payload carrier which further deployed USA-285 to USA-287 experiments
USA-288,2018-10-17,Atlas V 551,AEHF-4,Communications,Active,
USA-289,2018-12-23,Falcon 9 Block 5,GPS IIIA-01,Navigation,Testing[15],
USA-290,2019-01-19,Delta IV Heavy,NROL-71 (KH-11 Kennen),Optical reconnaissance,Active,
